Statistics;Type;Object;Product;Vehicle type;Source;Sale batch;BOM;Period;Account;Destination;Zone;Staff type;value;unit;
Available Inventory;DC;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Average Daily Available Inventory;;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory in Product Units;;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily Available Inventory in Product Units;;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
